date,mine_id,zone_id,shift,planned_tonnage,actual_tonnage,shortfall_tonnage,ore_grade_mined,hauling_trips,blasting_status,blasting_delay_hours,timestamp
2026-02-25,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,398,386,12,41.3,46,Completed,0.0,2026-02-25T16:00:00Z
2026-02-25,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-C,385,390,0,38.6,57,Completed,0.0,2026-02-26T00:00:00Z
2026-02-26,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-A,393,363,30,40.3,46,Completed,0.0,2026-02-26T08:00:00Z
2026-02-26,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,355,354,1,38.4,54,Completed,0.0,2026-02-26T16:00:00Z
2026-02-26,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,388,385,3,39.5,54,Completed,0.0,2026-02-27T00:00:00Z
2026-02-27,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,344,336,8,41.2,52,Delayed,1.0,2026-02-27T08:00:00Z
2026-02-27,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,402,380,22,40.0,40,Completed,0.0,2026-02-27T16:00:00Z
2026-02-27,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,342,316,26,39.2,44,Completed,0.0,2026-02-28T00:00:00Z
2026-02-28,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-A,369,377,0,38.3,43,Completed,0.0,2026-02-28T08:00:00Z
2026-02-28,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-B,341,323,18,43.8,44,Completed,0.0,2026-02-28T16:00:00Z
2026-02-28,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,411,385,26,43.7,57,Completed,0.0,2026-03-01T00:00:00Z
2026-03-01,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,374,373,1,39.2,53,Completed,0.0,2026-03-01T08:00:00Z
2026-03-01,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,416,425,0,37.9,32,Completed,0.0,2026-03-01T16:00:00Z
2026-03-01,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,373,352,21,40.2,56,Completed,0.0,2026-03-02T00:00:00Z
2026-03-02,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,392,363,29,42.6,32,Completed,0.0,2026-03-02T08:00:00Z
2026-03-02,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,387,402,0,39.2,58,Completed,0.0,2026-03-02T16:00:00Z
2026-03-02,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,405,407,0,41.4,43,Completed,0.0,2026-03-03T00:00:00Z
2026-03-03,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,405,399,6,39.3,35,Completed,0.0,2026-03-03T08:00:00Z
2026-03-03,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-B,404,394,10,38.3,51,Completed,0.0,2026-03-03T16:00:00Z
2026-03-03,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-C,378,389,0,39.0,34,Delayed,1.4,2026-03-04T00:00:00Z
2026-03-04,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,407,416,0,41.4,44,Completed,0.0,2026-03-04T08:00:00Z
2026-03-04,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-B,350,364,0,41.1,44,Completed,0.0,2026-03-04T16:00:00Z
2026-03-04,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,374,356,18,41.7,50,Completed,0.0,2026-03-05T00:00:00Z
2026-03-05,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,386,368,18,41.7,45,Completed,0.0,2026-03-05T08:00:00Z
2026-03-05,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,350,338,12,43.3,43,Delayed,1.5,2026-03-05T16:00:00Z
2026-03-05,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,349,345,4,40.3,34,Completed,0.0,2026-03-06T00:00:00Z
2026-03-06,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,366,354,12,39.8,37,Completed,0.0,2026-03-06T08:00:00Z
2026-03-06,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-B,369,385,0,40.8,42,Completed,0.0,2026-03-06T16:00:00Z
2026-03-06,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,363,354,9,41.8,52,Completed,0.0,2026-03-07T00:00:00Z
2026-03-07,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-A,344,325,19,38.7,39,Completed,0.0,2026-03-07T08:00:00Z
2026-03-07,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,402,417,0,38.7,38,Completed,0.0,2026-03-07T16:00:00Z
2026-03-07,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-C,376,386,0,41.5,57,Completed,0.0,2026-03-08T00:00:00Z
2026-03-08,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,412,394,18,39.8,38,Completed,0.0,2026-03-08T08:00:00Z
2026-03-08,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,357,343,14,39.8,47,Completed,0.0,2026-03-08T16:00:00Z
2026-03-08,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,346,330,16,39.7,48,Completed,0.0,2026-03-09T00:00:00Z
2026-03-09,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,383,400,0,39.6,51,Completed,0.0,2026-03-09T08:00:00Z
2026-03-09,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,403,386,17,38.3,52,Completed,0.0,2026-03-09T16:00:00Z
2026-03-09,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-C,354,335,19,40.5,56,Completed,0.0,2026-03-10T00:00:00Z
2026-03-10,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,378,247,131,39.7,49,Delayed,2.2,2026-03-10T08:00:00Z
2026-03-10,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,371,276,95,43.8,50,Delayed,3.4,2026-03-10T16:00:00Z
2026-03-10,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,417,282,135,43.6,44,Delayed,2.5,2026-03-11T00:00:00Z
2026-03-11,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-A,381,251,130,38.8,46,Delayed,2.5,2026-03-11T08:00:00Z
2026-03-11,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,397,291,106,42.9,40,Delayed,2.0,2026-03-11T16:00:00Z
2026-03-11,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,341,222,119,43.2,34,Delayed,3.2,2026-03-12T00:00:00Z
2026-03-12,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,399,262,137,41.3,53,Delayed,3.0,2026-03-12T08:00:00Z
2026-03-12,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,394,264,130,43.0,42,Delayed,2.1,2026-03-12T16:00:00Z
2026-03-12,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,341,244,97,39.9,33,Completed,0.0,2026-03-13T00:00:00Z
2026-03-13,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,366,247,119,38.0,44,Completed,0.0,2026-03-13T08:00:00Z
2026-03-13,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,395,303,92,41.9,41,Delayed,2.1,2026-03-13T16:00:00Z
2026-03-13,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,388,268,120,41.2,58,Completed,0.0,2026-03-14T00:00:00Z
