id,mine_id,name,operational_status,bench_level,daily_target_tons,potential
ZONE_DGB_02,MINE_DONGRI_04,Dongri Beta Open Bench 2,ACTIVE_EXTRACTION,-130m RL,510,HIGH
ZONE_DGB_03,MINE_DONGRI_04,Dongri South Pit Gamma 3,DEVELOPMENT_BENCH,-60m RL,240,MEDIUM
ZONE_DGB_04,MINE_DONGRI_04,Dongri Tailings Recovery 4,BENEFICIATION_PLANT,Surface (+280m RL),60,LOW
ZONE_DGB_05,MINE_DONGRI_04,Dongri North Exploration 5,GEOLOGICAL_PROSPECTING,Surface (+300m RL),0,LOW
ZONE_KND_01,MINE_KANDRI_05,Kandri Main Stope 1,ACTIVE_EXTRACTION,-150m RL,290,HIGH
ZONE_KND_02,MINE_KANDRI_05,Kandri East Bench 2,ACTIVE_EXTRACTION,-110m RL,240,HIGH
ZONE_KND_03,MINE_KANDRI_05,Kandri South Drift 3,DEVELOPMENT_BENCH,-70m RL,150,MEDIUM
ZONE_KND_04,MINE_KANDRI_05,Kandri Overburden Dump 4,WASTE_STABILIZATION,Surface (+305m RL),0,LOW
ZONE_MSR_01,MINE_MANSAR_06,Mansar Central Pit 1,ACTIVE_EXTRACTION,-125m RL,280,HIGH
ZONE_MSR_02,MINE_MANSAR_06,Mansar West Bench 2,ACTIVE_EXTRACTION,-95m RL,230,MEDIUM
ZONE_MSR_03,MINE_MANSAR_06,Mansar South Incline 3,DEVELOPMENT_BENCH,-65m RL,160,MEDIUM
ZONE_MSR_04,MINE_MANSAR_06,Mansar Exploration Block 4,GEOLOGICAL_PROSPECTING,Surface (+315m RL),0,LOW
ZONE_CHK_01,MINE_CHIKLA_07,Chikla Main Haulage Level 1,ACTIVE_EXTRACTION,-140m RL,310,HIGH
ZONE_CHK_02,MINE_CHIKLA_07,Chikla North Stope 2,ACTIVE_EXTRACTION,-105m RL,270,HIGH
ZONE_CHK_03,MINE_CHIKLA_07,Chikla South Bench 3,DEVELOPMENT_BENCH,-75m RL,170,MEDIUM
ZONE_CHK_04,MINE_CHIKLA_07,Chikla Prospecting Block 4,GEOLOGICAL_PROSPECTING,Surface (+310m RL),0,LOW
ZONE_CHK_05,MINE_CHIKLA_07,Chikla Waste Stockpile 5,WASTE_STABILIZATION,Surface (+325m RL),0,LOW
ZONE_UKW_01,MINE_UKWA_08,Ukwa Deep Seam Drift 1,ACTIVE_EXTRACTION,-165m RL,330,HIGH
ZONE_UKW_02,MINE_UKWA_08,Ukwa Central Extraction 2,ACTIVE_EXTRACTION,-120m RL,290,HIGH
ZONE_UKW_03,MINE_UKWA_08,Ukwa North Expansion 3,DEVELOPMENT_BENCH,-80m RL,190,MEDIUM
ZONE_UKW_04,MINE_UKWA_08,Ukwa Exploration Trench 4,GEOLOGICAL_PROSPECTING,Surface (+340m RL),0,LOW
ZONE_UKW_05,MINE_UKWA_08,Ukwa Overburden Mound 5,WASTE_STABILIZATION,Surface (+360m RL),0,LOW
ZONE_STP_01,MINE_SITAPATORE_09,Sitapatore Deep Stope 1,ACTIVE_EXTRACTION,-130m RL,210,HIGH
ZONE_STP_02,MINE_SITAPATORE_09,Sitapatore North Bench 2,ACTIVE_EXTRACTION,-90m RL,180,HIGH
ZONE_STP_03,MINE_SITAPATORE_09,Sitapatore South Incline 3,DEVELOPMENT_BENCH,-60m RL,140,MEDIUM
ZONE_STP_04,MINE_SITAPATORE_09,Sitapatore Exploration Trench 4,GEOLOGICAL_PROSPECTING,Surface (+305m RL),0,LOW
ZONE_BLD_01,MINE_BELDONGRI_10,Beldongri Main Quarry Pit 1,ACTIVE_EXTRACTION,-70m RL,160,HIGH
ZONE_BLD_02,MINE_BELDONGRI_10,Beldongri East Bench 2,ACTIVE_EXTRACTION,-95m RL,140,MEDIUM
ZONE_BLD_03,MINE_BELDONGRI_10,Beldongri West Development 3,DEVELOPMENT_BENCH,-40m RL,100,MEDIUM
ZONE_BLD_04,MINE_BELDONGRI_10,Beldongri Overburden Mound 4,WASTE_STABILIZATION,Surface (+295m RL),0,LOW
