equipment_id,equipment_type,mine_id,zone_id,operational_hours,downtime_hours,downtime_reason,efficiency_pct,health_status,timestamp
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.8,1.6,Preventive Maintenance,85.2,OPTIMAL,2026-03-01T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.7,1.1,Preventive Maintenance,88.2,OPTIMAL,2026-03-01T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.1,1.4,Preventive Maintenance,84.6,OPTIMAL,2026-03-02T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,21.8,1.2,Preventive Maintenance,90.0,OPTIMAL,2026-03-02T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.4,0.6,Preventive Maintenance,88.9,OPTIMAL,2026-03-02T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,21.9,1.5,Preventive Maintenance,86.8,OPTIMAL,2026-03-02T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.2,1.6,Preventive Maintenance,90.8,OPTIMAL,2026-03-02T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,21.3,1.9,Preventive Maintenance,84.3,OPTIMAL,2026-03-02T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.7,0.8,Preventive Maintenance,95.2,OPTIMAL,2026-03-02T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.8,0.0,None,83.9,OPTIMAL,2026-03-02T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.2,0.8,Preventive Maintenance,87.8,OPTIMAL,2026-03-03T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.7,0.0,None,92.4,OPTIMAL,2026-03-03T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.1,1.7,Preventive Maintenance,95.6,OPTIMAL,2026-03-03T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.0,0.6,Preventive Maintenance,94.9,OPTIMAL,2026-03-03T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,22.1,1.2,Preventive Maintenance,84.9,OPTIMAL,2026-03-03T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,22.5,0.0,None,90.6,OPTIMAL,2026-03-03T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.1,0.0,None,92.6,OPTIMAL,2026-03-03T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.9,1.5,Preventive Maintenance,89.0,OPTIMAL,2026-03-03T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.3,0.0,None,83.3,OPTIMAL,2026-03-04T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,21.2,1.7,Preventive Maintenance,89.2,OPTIMAL,2026-03-04T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,20.9,2.0,Preventive Maintenance,88.4,OPTIMAL,2026-03-04T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.8,0.0,None,95.3,OPTIMAL,2026-03-04T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,22.1,1.0,Preventive Maintenance,84.1,OPTIMAL,2026-03-04T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,23.2,0.0,None,85.2,OPTIMAL,2026-03-04T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.8,0.0,None,91.5,OPTIMAL,2026-03-04T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.3,0.7,Preventive Maintenance,83.5,OPTIMAL,2026-03-04T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.5,1.7,Preventive Maintenance,85.3,OPTIMAL,2026-03-05T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,21.3,1.9,Preventive Maintenance,86.6,OPTIMAL,2026-03-05T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.4,0.6,Preventive Maintenance,82.5,OPTIMAL,2026-03-05T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,23.1,0.0,None,90.6,OPTIMAL,2026-03-05T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.3,1.3,Preventive Maintenance,92.7,OPTIMAL,2026-03-05T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,21.3,1.9,Preventive Maintenance,94.3,OPTIMAL,2026-03-05T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.7,1.6,Preventive Maintenance,82.3,OPTIMAL,2026-03-05T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.4,1.3,Preventive Maintenance,82.8,OPTIMAL,2026-03-05T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.5,0.0,None,94.8,OPTIMAL,2026-03-06T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.3,1.2,Preventive Maintenance,90.0,OPTIMAL,2026-03-06T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.8,0.0,None,92.5,OPTIMAL,2026-03-06T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.6,0.0,None,92.0,OPTIMAL,2026-03-06T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,22.3,1.0,Preventive Maintenance,88.8,OPTIMAL,2026-03-06T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,22.0,1.2,Preventive Maintenance,86.5,OPTIMAL,2026-03-06T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.8,1.1,Preventive Maintenance,87.0,OPTIMAL,2026-03-06T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.5,1.0,Preventive Maintenance,90.0,OPTIMAL,2026-03-06T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.2,0.0,None,90.1,OPTIMAL,2026-03-07T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.1,0.7,Preventive Maintenance,85.1,OPTIMAL,2026-03-07T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.5,0.0,None,95.5,OPTIMAL,2026-03-07T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.5,0.0,None,93.1,OPTIMAL,2026-03-07T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,22.5,0.8,Preventive Maintenance,92.9,OPTIMAL,2026-03-07T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,23.3,0.0,None,84.3,OPTIMAL,2026-03-07T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.5,0.0,None,86.1,OPTIMAL,2026-03-07T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,20.8,2.0,Preventive Maintenance,91.0,OPTIMAL,2026-03-07T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.0,1.6,Preventive Maintenance,95.3,OPTIMAL,2026-03-08T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,21.7,1.7,Preventive Maintenance,92.8,OPTIMAL,2026-03-08T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.6,1.8,Preventive Maintenance,90.6,OPTIMAL,2026-03-08T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,21.7,1.3,Preventive Maintenance,92.9,OPTIMAL,2026-03-08T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.9,1.4,Preventive Maintenance,84.5,OPTIMAL,2026-03-08T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,23.0,0.0,None,82.3,OPTIMAL,2026-03-08T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.2,1.4,Preventive Maintenance,84.8,OPTIMAL,2026-03-08T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.2,0.0,None,93.9,OPTIMAL,2026-03-08T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.8,0.0,None,95.1,OPTIMAL,2026-03-09T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.8,0.0,None,85.4,OPTIMAL,2026-03-09T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.2,0.0,None,87.1,OPTIMAL,2026-03-09T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.1,1.1,Preventive Maintenance,82.8,OPTIMAL,2026-03-09T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.1,1.7,Preventive Maintenance,94.8,OPTIMAL,2026-03-09T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,23.2,0.0,None,91.5,OPTIMAL,2026-03-09T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.5,1.6,Preventive Maintenance,90.8,OPTIMAL,2026-03-09T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.4,0.0,None,90.9,OPTIMAL,2026-03-09T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.2,0.0,None,92.7,OPTIMAL,2026-03-10T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.0,1.4,Preventive Maintenance,94.8,OPTIMAL,2026-03-10T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,20.6,2.0,Preventive Maintenance,85.6,OPTIMAL,2026-03-10T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,20.8,2.0,Preventive Maintenance,89.2,OPTIMAL,2026-03-10T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.4,1.3,Preventive Maintenance,83.1,OPTIMAL,2026-03-10T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,21.5,1.8,Preventive Maintenance,89.6,OPTIMAL,2026-03-10T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.2,1.2,Preventive Maintenance,92.8,OPTIMAL,2026-03-10T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.1,0.0,None,88.0,OPTIMAL,2026-03-10T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,15.0,7.4,Hydraulic Line Burst,59.9,CRITICAL_MAINTENANCE,2026-03-11T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,23.2,0.0,None,91.1,OPTIMAL,2026-03-11T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.6,0.0,None,87.7,OPTIMAL,2026-03-11T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,14.0,8.2,Suspension Cylinder Leak,54.6,CRITICAL_MAINTENANCE,2026-03-11T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.9,1.4,Preventive Maintenance,88.3,OPTIMAL,2026-03-11T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,22.9,0.0,None,86.6,OPTIMAL,2026-03-11T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.9,0.0,None,92.3,OPTIMAL,2026-03-11T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.1,0.0,None,82.3,OPTIMAL,2026-03-11T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,16.2,6.3,Hydraulic Line Burst,59.1,CRITICAL_MAINTENANCE,2026-03-12T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.0,1.2,Preventive Maintenance,91.7,OPTIMAL,2026-03-12T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.4,1.2,Preventive Maintenance,84.1,OPTIMAL,2026-03-12T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,17.3,5.6,Suspension Cylinder Leak,48.6,CRITICAL_MAINTENANCE,2026-03-12T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,22.9,0.0,None,90.9,OPTIMAL,2026-03-12T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,22.1,1.1,Preventive Maintenance,94.4,OPTIMAL,2026-03-12T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,20.7,1.9,Preventive Maintenance,84.4,OPTIMAL,2026-03-12T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.4,1.1,Preventive Maintenance,92.3,OPTIMAL,2026-03-12T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,15.4,7.3,Hydraulic Line Burst,53.2,CRITICAL_MAINTENANCE,2026-03-13T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.6,0.0,None,86.4,OPTIMAL,2026-03-13T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.6,0.8,Preventive Maintenance,89.0,OPTIMAL,2026-03-13T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,14.5,7.8,Suspension Cylinder Leak,46.6,CRITICAL_MAINTENANCE,2026-03-13T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,22.6,0.0,None,90.7,OPTIMAL,2026-03-13T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,21.2,1.7,Preventive Maintenance,88.0,OPTIMAL,2026-03-13T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.3,1.1,Preventive Maintenance,83.5,OPTIMAL,2026-03-13T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.3,1.1,Preventive Maintenance,90.6,OPTIMAL,2026-03-13T18:00:00Z
EXC_HIT_ZX470_01,Hydraulic Excavator,MINE_GUMGAON_02,ZONE_GMG_01,22.6,0.3,None,97.5,OPTIMAL,2025-12-15T19:00:00Z
DMP_CAT_773E_01,Haul Dumper,MINE_GUMGAON_02,ZONE_GMG_01,20.8,1.5,Track shoe tension adjustment,73.8,WARNING,2025-12-15T22:00:00Z
DMP_CAT_773E_02,Haul Dumper,MINE_GUMGAON_02,ZONE_GMG_02,22.9,0.1,None,94.3,OPTIMAL,2025-12-15T20:00:00Z
DRL_SND_DX800_01,Blast Drill Rig,MINE_GUMGAON_02,ZONE_GMG_02,23.1,0.2,None,96.4,OPTIMAL,2025-12-15T23:00:00Z
EXC_CAT_349_02,Hydraulic Excavator,MINE_TIRODI_03,ZONE_TRD_01,22.0,0.8,None,90.7,OPTIMAL,2025-12-15T19:00:00Z
EXC_KOM_PC300_01,Hydraulic Excavator,MINE_TIRODI_03,ZONE_TRD_02,22.8,0.6,None,92.6,OPTIMAL,2025-12-15T22:00:00Z
DMP_BEML_BH35_01,Haul Dumper,MINE_TIRODI_03,ZONE_TRD_01,23.0,0.3,None,88.8,OPTIMAL,2025-12-15T20:00:00Z
DMP_BEML_BH35_02,Haul Dumper,MINE_TIRODI_03,ZONE_TRD_02,22.6,0.1,None,92.1,OPTIMAL,2025-12-15T21:00:00Z
DOZ_CAT_D8R_01,Track-Type Dozer,MINE_TIRODI_03,ZONE_TRD_05,20.0,2.9,Fuel refill & shift inspection,75.8,WARNING,2025-12-15T19:00:00Z
EXC_HIT_EX1200_01,Hydraulic Mining Shovel,MINE_DONGRI_04,ZONE_DGB_01,20.7,1.9,Track shoe tension adjustment,79.3,WARNING,2025-12-15T18:00:00Z
DMP_VOLVO_FMX_21,Haul Dumper,MINE_DONGRI_04,ZONE_DGB_01,22.4,0.5,None,93.5,OPTIMAL,2025-12-15T19:00:00Z
DMP_VOLVO_FMX_22,Haul Dumper,MINE_DONGRI_04,ZONE_DGB_02,22.8,0.1,None,93.4,OPTIMAL,2025-12-15T22:00:00Z
CRU_METSO_C120_01,Primary Jaw Crusher,MINE_DONGRI_04,ZONE_DGB_01,22.5,0.9,None,90.2,OPTIMAL,2025-12-15T20:00:00Z
WTR_TRK_TATA_02,Dust Suppression Bowser,MINE_DONGRI_04,ZONE_DGB_02,20.4,2.9,Air intake filter clogging,75.3,WARNING,2025-12-15T18:00:00Z
EXC_KOM_PC450_03,Hydraulic Excavator,MINE_KANDRI_05,ZONE_KND_01,22.5,0.3,None,93.0,OPTIMAL,2025-12-15T22:00:00Z
DMP_VOLVO_FMX_31,Haul Dumper,MINE_KANDRI_05,ZONE_KND_01,23.0,0.3,None,96.5,OPTIMAL,2025-12-15T23:00:00Z
DMP_VOLVO_FMX_32,Haul Dumper,MINE_KANDRI_05,ZONE_KND_02,22.1,0.6,None,91.1,OPTIMAL,2025-12-15T19:00:00Z
DRL_ATLAS_ROC_02,Blast Drill Rig,MINE_KANDRI_05,ZONE_KND_01,22.2,0.9,None,95.5,OPTIMAL,2025-12-15T20:00:00Z
EXC_CAT_349_03,Hydraulic Excavator,MINE_MANSAR_06,ZONE_MSR_01,22.5,0.4,None,91.7,OPTIMAL,2025-12-15T23:00:00Z
DMP_BEML_BH35_03,Haul Dumper,MINE_MANSAR_06,ZONE_MSR_01,21.6,0.9,None,90.5,OPTIMAL,2025-12-15T21:00:00Z
DMP_BEML_BH35_04,Haul Dumper,MINE_MANSAR_06,ZONE_MSR_02,21.9,0.6,None,91.5,OPTIMAL,2025-12-15T18:00:00Z
WTR_TRK_TATA_03,Dust Suppression Bowser,MINE_MANSAR_06,ZONE_MSR_01,22.9,0.4,None,90.5,OPTIMAL,2025-12-15T19:00:00Z
EXC_HIT_ZX470_02,Hydraulic Excavator,MINE_CHIKLA_07,ZONE_CHK_01,22.6,0.8,None,91.2,OPTIMAL,2025-12-15T18:00:00Z
DMP_VOLVO_FMX_41,Haul Dumper,MINE_CHIKLA_07,ZONE_CHK_01,22.6,0.6,None,90.3,OPTIMAL,2025-12-15T18:00:00Z
DMP_VOLVO_FMX_42,Haul Dumper,MINE_CHIKLA_07,ZONE_CHK_02,22.9,0.5,None,90.8,OPTIMAL,2025-12-15T22:00:00Z
DRL_SND_DX800_02,Blast Drill Rig,MINE_CHIKLA_07,ZONE_CHK_01,22.2,0.7,None,94.5,OPTIMAL,2025-12-15T23:00:00Z
DOZ_KOM_D155_01,Track-Type Dozer,MINE_CHIKLA_07,ZONE_CHK_05,23.0,0.3,None,96.0,OPTIMAL,2025-12-15T21:00:00Z
EXC_KOM_PC450_04,Hydraulic Excavator,MINE_UKWA_08,ZONE_UKW_01,17.1,5.0,Engine cooling circuit rupture,60.0,CRITICAL_MAINTENANCE,2025-12-15T21:00:00Z
DMP_CAT_773E_03,Haul Dumper,MINE_UKWA_08,ZONE_UKW_01,20.8,1.5,Track shoe tension adjustment,78.9,WARNING,2025-12-15T21:00:00Z
DMP_CAT_773E_04,Haul Dumper,MINE_UKWA_08,ZONE_UKW_02,22.2,0.4,None,97.2,OPTIMAL,2025-12-15T18:00:00Z
DRL_ATLAS_ROC_03,Blast Drill Rig,MINE_UKWA_08,ZONE_UKW_01,19.9,2.4,Haul road dust water spraying pause,77.0,WARNING,2025-12-15T20:00:00Z
WTR_TRK_TATA_04,Dust Suppression Bowser,MINE_UKWA_08,ZONE_UKW_02,22.6,0.1,None,92.9,OPTIMAL,2025-12-15T18:00:00Z
EXC_HIT_ZX470_01,Hydraulic Excavator,MINE_GUMGAON_02,ZONE_GMG_01,22.2,0.5,None,97.7,OPTIMAL,2025-12-16T18:00:00Z
